app_temp,azimuth,clouds,datetime,dewpt,dhi,dni,elev_angle,ghi,h_angle,pod,precip,pres,revision_status,rh,slp,snow,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather,wind_dir,wind_gust_spd,wind_spd
24.5,0.9,100,2025-04-03:06,19.4,0,0,-49.6,0,,n,0,996,final,75,1012,0,0,24.1,2025-04-03T01:00:00,2025-04-03T06:00:00,1743660000,0,16,"{'code': 804, 'icon': 'c04n', 'description': 'Overcast clouds'}",208,14.4,5.6
23.7,23.1,100,2025-04-03:07,18.8,0,0,-47.0,0,,n,0,996,final,76,1012,0,0,23.3,2025-04-03T02:00:00,2025-04-03T07:00:00,1743663600,0,16,"{'code': 804, 'icon': 'c04n', 'description': 'Overcast clouds'}",216,14.4,4.8
